[2026.06.10-00.18.12:480][  0]LogInit: Display: Running engine for game: T66
[2026.06.10-00.18.13:610][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'MacEditor'
[2026.06.10-00.18.13:610][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'MacServer'
[2026.06.10-00.18.13:610][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'MacClient'
[2026.06.10-00.18.13:651][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'TVOS'
[2026.06.10-00.18.13:652][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'TVOSClient'
[2026.06.10-00.18.13:693][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'Windows'
[2026.06.10-00.18.13:693][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'WindowsEditor'
[2026.06.10-00.18.13:693][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'WindowsServer'
[2026.06.10-00.18.13:693][  0]LogTargetPlatformManager: Display: Loaded TargetPlatform 'WindowsClient'
[2026.06.10-00.18.13:693][  0]LogTargetPlatformManager: Display: Building Assets For WindowsEditor
[2026.06.10-00.18.13:703][  0]LogAudioDebug: Display: Lib vorbis DLL was dynamically loaded.
[2026.06.10-00.18.13:825][  0]LogDerivedDataCache: Display: Memory: Max Cache Size: -1 MB
[2026.06.10-00.18.14:383][  0]LogDerivedDataCache: Display: ../../../Engine/DerivedDataCache/Compressed.ddp: Opened pak cache for reading. (1732 MiB)
[2026.06.10-00.18.14:393][  0]LogZenServiceInstance: Display: Launching zen utility 'C:/Program Files/Epic Games/UE_5.7/Engine/Binaries/Win64/zen.exe service status'.
[2026.06.10-00.18.14:880][  0]LogZenServiceInstance: Display: Launching zen utility 'C:/Program Files/Epic Games/UE_5.7/Engine/Binaries/Win64/zen.exe service status'.
[2026.06.10-00.18.15:358][  0]LogZenServiceInstance: Display: Read zen version cache file from 'C:/Users/DoPra/AppData/Local/UnrealEngine/5.7/Saved/Zen/zen.version', version: '5.7.6-202510061608-windows-x64-release-9a1ebb9'
[2026.06.10-00.18.15:360][  0]LogZenServiceInstance: Display: Read zen version cache file from 'C:/Users/DoPra/AppData/Local/UnrealEngine/Common/Zen/Install/zen.version', version: '5.7.6-202510061608-windows-x64-release-9a1ebb9'
[2026.06.10-00.18.15:360][  0]LogZenServiceInstance: Display: Installed service at 'C:/Users/DoPra/AppData/Local/UnrealEngine/Common/Zen/Install/zenserver.exe' is up to date
[2026.06.10-00.18.15:362][  0]LogZenServiceInstance: Display: Launching executable 'C:/Users/DoPra/AppData/Local/UnrealEngine/Common/Zen/Install/zenserver.exe', working dir 'C:/Users/DoPra/AppData/Local/UnrealEngine/Common/Zen/Install', data dir 'C:/Users/DoPra/AppData/Local/UnrealEngine/Common/Zen/Data', args '--port 8558 --data-dir C:\Users\DoPra\AppData\Local\UnrealEngine\Common\Zen\Data --http asio --gc-cache-duration-seconds 1209600 --gc-interval-seconds 21600 --gc-low-diskspace-threshold 2147483648 --cache-bucket-limit-overwrites --quiet --http-forceloopback --owner-pid 138672  --child-id Zen_138672_Startup'
[2026.06.10-00.18.15:959][  0]LogZenServiceInstance: Display: Unreal Zen Storage Server HTTP service at http://[::1]:8558 status: OK!.
[2026.06.10-00.18.15:963][  0]LogDerivedDataCache: Display: ZenLocal: Using ZenServer HTTP service at [::1] with namespace ue.ddc status: OK!.
[2026.06.10-00.18.16:278][  0]LogDerivedDataCache: Display: C:/Users/DoPra/AppData/Local/UnrealEngine/Common/DerivedDataCache: Performance: Latency=0.11ms. RandomReadSpeed=20.03MBs, RandomWriteSpeed=3.48MBs. Assigned SpeedClass 'Local'
[2026.06.10-00.18.17:697][  0]LogUbaHorde: Display: UBA/Horde Configuration [Uba.Provider.Horde]: Not Enabled
[2026.06.10-00.18.17:697][  0]LogShaderCompilers: Display: No distributed shader compiler controller found
[2026.06.10-00.18.17:699][  0]LogShaderCompilers: Display: Using 29 local workers for shader compilation
[2026.06.10-00.18.17:701][  0]LogShaderCompilers: Display: Compiling shader autogen file: ../../../../../../UE/T66/Intermediate/ShaderAutogen/PCD3D_SM6/AutogenShaderHeaders.ush
[2026.06.10-00.18.17:703][  0]LogShaderCompilers: Display: Autogen file is unchanged, skipping write.
[2026.06.10-00.18.19:630][  0]LogEditorDomain: Display: EditorDomain is Disabled
[2026.06.10-00.18.20:432][  0]LogCsvProfiler: Display: Metadata set : deviceprofile="WindowsEditor"
[2026.06.10-00.18.20:441][  0]LogStreaming: Display: FlushAsyncLoading(1): 1 QueuedPackages, 0 AsyncPackages
[2026.06.10-00.18.20:468][  0]LogStreaming: Display: Flushing package /Engine/Functions/Engine_MaterialFunctions01/Shading/PowerToRoughness (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:470][  0]LogStreaming: Display: Package /Engine/EngineMaterials/DefaultTextMaterialOpaque is adding a dynamic import to package /Engine/Functions/Engine_MaterialFunctions01/Shading/PowerToRoughness because of a recursive sync load
[2026.06.10-00.18.20:470][  0]LogStreaming: Display: Flushing package /Engine/Functions/Engine_MaterialFunctions01/Shading/PowerToRoughness (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:470][  0]LogStreaming: Display: Flushing package /Engine/Functions/Engine_MaterialFunctions01/Shading/ConvertFromDiffSpec (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:472][  0]LogStreaming: Display: Package /Engine/EngineMaterials/DefaultTextMaterialOpaque is adding a dynamic import to package /Engine/Functions/Engine_MaterialFunctions01/Shading/ConvertFromDiffSpec because of a recursive sync load
[2026.06.10-00.18.20:472][  0]LogStreaming: Display: Flushing package /Engine/Functions/Engine_MaterialFunctions01/Shading/ConvertFromDiffSpec (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:474][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/WorldGridMaterial (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:480][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultDeferredDecalMaterial (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/WorldGridMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:482][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultLightFunctionMaterial (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/DefaultDeferredDecalMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:484][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultPostProcessMaterial (state: WaitingForIo) recursively from another package /Engine/EngineMaterials/DefaultLightFunctionMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:490][  0]LogStreaming: Display: Package /Engine/EngineMaterials/DefaultLightFunctionMaterial is adding a dynamic import to package /Engine/EngineMaterials/DefaultPostProcessMaterial because of a recursive sync load
[2026.06.10-00.18.20:490][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultPostProcessMaterial (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/DefaultLightFunctionMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:492][  0]LogStreaming: Display: Package /Engine/EngineMaterials/DefaultDeferredDecalMaterial is adding a dynamic import to package /Engine/EngineMaterials/DefaultLightFunctionMaterial because of a recursive sync load
[2026.06.10-00.18.20:492][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultLightFunctionMaterial (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/DefaultDeferredDecalMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:506][  0]LogStreaming: Display: Package /Engine/EngineMaterials/WorldGridMaterial is adding a dynamic import to package /Engine/EngineMaterials/DefaultDeferredDecalMaterial because of a recursive sync load
[2026.06.10-00.18.20:506][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/DefaultDeferredDecalMaterial (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/WorldGridMaterial (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:506][  0]LogStreaming: Display: Package /Engine/EngineMaterials/DefaultTextMaterialOpaque is adding a dynamic import to package /Engine/EngineMaterials/WorldGridMaterial because of a recursive sync load
[2026.06.10-00.18.20:506][  0]LogStreaming: Display: Flushing package /Engine/EngineMaterials/WorldGridMaterial (state: DeferredPostLoad) recursively from another package /Engine/EngineMaterials/DefaultTextMaterialOpaque (state: CreateLinkerLoadExports) will result in a partially loaded package to avoid a deadlock.
[2026.06.10-00.18.20:506][  0]LogTextureEncodingSettings: Display: Texture Encode Speed: Final (cook).
[2026.06.10-00.18.20:506][  0]LogTextureEncodingSettings: Display: Oodle Texture Encode Speed settings: Fast: RDO Off Lambda=0, Effort=Normal Final: RDO Off Lambda=0, Effort=Normal
[2026.06.10-00.18.20:506][  0]LogTextureEncodingSettings: Display: Shared linear texture encoding: Disabled
[2026.06.10-00.18.20:550][  0]LogMeshReduction: Display: Using QuadricMeshReduction for automatic static mesh reduction
[2026.06.10-00.18.20:550][  0]LogMeshReduction: Display: Using SkeletalMeshReduction for automatic skeletal mesh reduction
[2026.06.10-00.18.20:550][  0]LogMeshReduction: Display: Using ProxyLODMeshReduction for automatic mesh merging
[2026.06.10-00.18.20:550][  0]LogMeshReduction: Display: No distributed automatic mesh merging module available
[2026.06.10-00.18.20:988][  0]LogShaderCompilers: Display: Compiling shader autogen file: ../../../../../../UE/T66/Intermediate/ShaderAutogen/PCD3D_SM5/AutogenShaderHeaders.ush
[2026.06.10-00.18.20:990][  0]LogShaderCompilers: Display: Autogen file is unchanged, skipping write.
[2026.06.10-00.18.20:990][  0]LogVirtualization: Display: VirtualizationSystem name found in ini file: None
[2026.06.10-00.18.20:990][  0]LogVirtualization: Display: FNullVirtualizationSystem mounted, virtualization will be disabled
[2026.06.10-00.18.21:208][  0]LogWorldPartition: Display: FWorldPartitionClassDescRegistry::Initialize started...
[2026.06.10-00.18.21:214][  0]LogWorldPartition: Display: FWorldPartitionClassDescRegistry::Initialize took 5.859 ms
[2026.06.10-00.18.23:322][  0]LogMetaSound: Display: MetaSound Page Target Initialized to 'Default'
[2026.06.10-00.18.23:325][  0]LogAudio: Display: Registering Engine Module Parameter Interfaces...
[2026.06.10-00.18.26:042][  0]LogFabLauncher: Display: FabLauncher (version 0.5.0) active
[2026.06.10-00.18.26:509][  0]LogAssetRegistry: Display: Asset registry cache read as 77.6 MiB from ../../../../../../UE/T66/Intermediate/CachedAssetRegistry_0.bin.
[2026.06.10-00.18.26:509][  0]LogAssetRegistry: Display: AssetDataGatherer spent 0.139s loading caches ../../../../../../UE/T66/Intermediate/CachedAssetRegistry_*.bin.
[2026.06.10-00.18.26:732][  0]LogCsvProfiler: Display: Metadata set : largeworldcoordinates="1"
[2026.06.10-00.18.26:796][  0]LogPython: Display: No pip-enabled plugins with python dependencies found, skipping
[2026.06.10-00.18.27:557][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/MovieScene/MovieRenderPipeline/Content/Python/init_unreal.py... started...
[2026.06.10-00.18.27:589][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/MovieScene/MovieRenderPipeline/Content/Python/init_unreal.py... took 30.718 ms
[2026.06.10-00.18.27:589][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Importers/USDImporter/Content/Python/init_unreal.py... started...
[2026.06.10-00.18.27:589][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Importers/USDImporter/Content/Python/init_unreal.py... took 199 us (total: 30.918 ms)
[2026.06.10-00.18.27:589][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Animation/IKRig/Content/Python/init_unreal.py... started...
[2026.06.10-00.18.27:597][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Animation/IKRig/Content/Python/init_unreal.py... took 7.354 ms (total: 38.273 ms)
[2026.06.10-00.18.27:597][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Animation/ControlRig/Content/Python/init_unreal.py... started...
[2026.06.10-00.18.27:620][  0]LogPython: Display: Running start-up script C:/Program Files/Epic Games/UE_5.7/Engine/Plugins/Animation/ControlRig/Content/Python/init_unreal.py... took 25.988 ms (total: 64.261 ms)
[2026.06.10-00.18.27:620][  0]LogPythonScriptCommandlet: Display: Running Python script: C:/UE/T66/Scripts/SetupAudioSoundClasses.py
[2026.06.10-00.18.27:796][  0]LogSourceControl: Display: Uncontrolled Changelist persistency file loaded ../../../../../../UE/T66/Saved/SourceControl/UncontrolledChangelists.json
[2026.06.10-00.18.27:812][  0]LogPythonScriptCommandlet: Display: Python script executed successfully
[2026.06.10-00.18.27:812][  0]LogInit: Display:
[2026.06.10-00.18.27:812][  0]LogInit: Display: Warning/Error Summary (Unique only)
[2026.06.10-00.18.27:812][  0]LogInit: Display: -----------------------------------
[2026.06.10-00.18.27:812][  0]LogInit: Display: LogConsoleManager: Warning: Setting the console variable 'r.Upscale.Quality' with 'SetByScalability' was ignored as it is lower priority than the previous 'SetByProjectSetting'. Value remains '1'
[2026.06.10-00.18.27:812][  0]LogInit: Display:
[2026.06.10-00.18.27:812][  0]LogInit: Display: Success - 0 error(s), 2 warning(s)
[2026.06.10-00.18.27:812][  0]LogInit: Display:

Execution of commandlet took:  0.26 seconds
[2026.06.10-00.18.30:397][  0]LogShaderCompilers: Display: Shaders left to compile 0
[2026.06.10-00.18.30:526][  0]LogSourceControl: Display: Uncontrolled Changelist persistency file saved ../../../../../../UE/T66/Saved/SourceControl/UncontrolledChangelists.json
