"asset_id","display_name","category","source_kind","model_input_status","package_path","original_path","bytes","sha256","notes"
"enemy_stage1_stonesentinel","Stone Sentinel","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\stonesentinel_uncanny_house_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\StoneSentinel\stonesentinel_uncanny_house_v02.png","1589680","3254085cffaeaa9d62be3f1302be6ad6e5b802f4c78e1b02839006972bd0c50a","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_tombspider","Tomb Spider","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\tombspider_uncanny_house_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\TombSpider\tombspider_uncanny_house_v02.png","1096357","83a44b4fcbf8a3940667458c3ef8c6f07e20ec66f6c315873f130a141a6de4b2","Curated latest Stage 1 dungeon enemy source."
"enemy_forest_forestwraith","Forestwraith","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\forestwraith_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\ForestWraith\forestwraith_forest_uncanny_house_v01.png","1045978","bee6f65c40ec711e45aac75c1352e0e3989a30ed82e0aaac3e43088a7f4924d4","Curated Forest enemy source."
"enemy_forest_hivewasp","Hivewasp","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\hivewasp_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\HiveWasp\hivewasp_forest_uncanny_house_v01.png","961775","e164adfc43ae565931a1e554b9aa2cdfab933cb3b93630e95ca5b786c00792e6","Curated Forest enemy source."
"enemy_forest_mushroombrute","Mushroombrute","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\mushroombrute_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\MushroomBrute\mushroombrute_forest_uncanny_house_v01.png","1373012","78b2fa0669664d4fae247093c603f40d55ad1b10ccd3893e70d3e970e0df4bff","Curated Forest enemy source."
"enemy_forest_myconiddruid","Myconiddruid","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\myconiddruid_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\MyconidDruid\myconiddruid_forest_uncanny_house_v01.png","1298628","ad8ba8ad8e112d8bf2b4f3690d3fe8c5171b167b710d9e9b400a0fb6a5b44ac1","Curated Forest enemy source."
"enemy_forest_sporebomb","Sporebomb","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\sporebomb_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\SporeBomb\sporebomb_forest_uncanny_house_v01.png","1045636","9709d5aa1ddd9258dfbef7297e7025e2d248a580b457cf424e55aa981b4381e5","Curated Forest enemy source."
"enemy_forest_thornimp","Thornimp","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\thornimp_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\ThornImp\thornimp_forest_uncanny_house_v01.png","1054968","11a502df9eea0d528e18f3b998243d1bf483900d739867ff94864c0f64912141","Curated Forest enemy source."
"enemy_forest_treantancient","Treantancient","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\treantancient_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\TreantAncient\treantancient_forest_uncanny_house_v01.png","1445865","81b10e4cc129db1c7ddbc7cdc89bccda5997ee4063151a9c1b11a3e2b875e916","Curated Forest enemy source."
"enemy_forest_treantsapling","Treantsapling","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\treantsapling_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\TreantSapling\treantsapling_forest_uncanny_house_v01.png","1125303","06b09336bb5578d3310481669f979d1d11422ee4e7712d77429aeaf891904438","Curated Forest enemy source."
"enemy_forest_tuskerboar","Tuskerboar","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\tuskerboar_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\TuskerBoar\tuskerboar_forest_uncanny_house_v01.png","1385208","07147b0daa2f1cb0e97202e2a635a6de8e494a23c7180f800e4165defee60ccd","Curated Forest enemy source."
"enemy_forest_vinestrangler","Vinestrangler","enemy","single_subject_png","model_ready","ModelReady\Enemies\Forest\vinestrangler_forest_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\VineStrangler\vinestrangler_forest_uncanny_house_v01.png","1303370","6f2124d876636dfae8ed4ba7e52516b068b3e94f2e41e9cfeeb99fdadb055191","Curated Forest enemy source."
"enemy_ocean_anglerfishstalker","Anglerfishstalker","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\anglerfishstalker_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\AnglerfishStalker\anglerfishstalker_ocean_uncanny_house_v01.png","908869","8721dd6704ab9115e8dd30fe1463f6d6f304c52e527292d90d9b21cdac627e86","Curated Ocean enemy source."
"enemy_ocean_brinestrafer","Brinestrafer","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\brinestrafer_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\BrineStrafer\brinestrafer_ocean_uncanny_house_v01.png","1137286","eb67cadb8d625ba041ba8c279ad2b4d3a84b2ea4e809bfad5c87102ccf09d06a","Curated Ocean enemy source."
"enemy_ocean_coralmortar","Coralmortar","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\coralmortar_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\CoralMortar\coralmortar_ocean_uncanny_house_v01.png","1352881","a81cfa47e9232ea9e0867c3cf82c1755b0aef4d39f477ecf0574a1c8a236c9fa","Curated Ocean enemy source."
"enemy_ocean_crabguard","Crabguard","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\crabguard_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\CrabGuard\crabguard_ocean_uncanny_house_v01.png","1197901","b9a8655aaca2554dc9fc1da4f33e762b2ba541081b1f0d11fe75c131b52248a4","Curated Ocean enemy source."
"enemy_ocean_drownedpriestess","Drownedpriestess","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\drownedpriestess_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\DrownedPriestess\drownedpriestess_ocean_uncanny_house_v01.png","1160555","d16a1cc0b657f27f34d2159de779d22d6ed703d55e610c4cc7d73801d9de06b8","Curated Ocean enemy source."
"enemy_ocean_drownedsailor","Drownedsailor","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\drownedsailor_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\DrownedSailor\drownedsailor_ocean_uncanny_house_v01.png","1064618","2a6d6c0e47995ee22f95f4124025ebe34a3d48c2e2b8203f0816f6641d41a379","Curated Ocean enemy source."
"enemy_ocean_ghostray","Ghostray","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\ghostray_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\GhostRay\ghostray_ocean_uncanny_house_v01.png","877249","2be43c38f22e3784c3a9f0f045e01a4d18cff60ca9c1f9206fc830d7a7b8a57f","Curated Ocean enemy source."
"enemy_ocean_jellyhover","Jellyhover","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\jellyhover_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\JellyHover\jellyhover_ocean_uncanny_house_v01.png","1363904","0a823e8b3a9f95f6c4b5d0d4e2db2e19154a30ac6ff30b525eedf92a23b728dd","Curated Ocean enemy source."
"enemy_ocean_reefshark","Reefshark","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\reefshark_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\ReefShark\reefshark_ocean_uncanny_house_v01.png","1016022","fa39b4c275b29cf0e4369e8935a9aa9fe84d8006a9d8fd32d81c885e37e1a0a9","Curated Ocean enemy source."
"enemy_ocean_seamine","Seamine","enemy","single_subject_png","model_ready","ModelReady\Enemies\Ocean\seamine_ocean_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\SeaMine\seamine_ocean_uncanny_house_v01.png","1048568","974212027490432eb95bb1e6098c625f8a5dcb53e9944c27b0ceb760ea720d01","Curated Ocean enemy source."
"enemy_hell_boneknight","Boneknight","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\boneknight_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\BoneKnight\boneknight_hell_uncanny_house_v01.png","1157382","a0d066a4b14410974a758b832251241c5b3fb20121163d0ce5fc35ba3d6ede31","Curated Hell enemy source."
"enemy_hell_brimstonemortar","Brimstonemortar","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\brimstonemortar_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\BrimstoneMortar\brimstonemortar_hell_uncanny_house_v01.png","1191814","e12b9c339443905ab30b3bfc2d14a894f65422c9f99ac3f7c5bf8131fc257823","Curated Hell enemy source."
"enemy_hell_demonsentinel","Demonsentinel","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\demonsentinel_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\DemonSentinel\demonsentinel_hell_uncanny_house_v01.png","1322568","461effefbfe07d29e35c5236bcfd35d6a0f1104757f2c09b295cc17e809d18b1","Curated Hell enemy source."
"enemy_hell_fireskull","Fireskull","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\fireskull_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\FireSkull\fireskull_hell_uncanny_house_v01.png","1186944","8625f9e56bde1b917d13c28611be40c0f40db275efbea34c276596c743e2aa0d","Curated Hell enemy source."
"enemy_hell_gargoyle","Gargoyle","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\gargoyle_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\Gargoyle\gargoyle_hell_uncanny_house_v01.png","1360503","0550ad3bc9403adc3a304746c91b29fcdb8e59e96c6b1c3936a69200dff3dab1","Curated Hell enemy source."
"enemy_hell_hellhound","Hellhound","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\hellhound_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\Hellhound\hellhound_hell_uncanny_house_v01.png","904601","2af8fc8cdb5b634a28d553380e2c75faad523ec2ca7b086f49cd609a018f4714","Curated Hell enemy source."
"enemy_hell_hellwyrm","Hellwyrm","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\hellwyrm_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\HellWyrm\hellwyrm_hell_uncanny_house_v01.png","1483167","cd7d1835aaeb279a6554d1b03782f3736a5412dc268597b9fc4e60dc4a2fec2d","Curated Hell enemy source."
"enemy_hell_pitimp","Pitimp","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\pitimp_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\PitImp\pitimp_hell_uncanny_house_v01.png","969171","0a59cdc4322522a52d6840b2199fd9276fb5b794c0664ea1c641a63237f93e9a","Curated Hell enemy source."
"enemy_hell_plaguecultist","Plaguecultist","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\plaguecultist_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\PlagueCultist\plaguecultist_hell_uncanny_house_v01.png","870689","9b84dfdc25461ba627abe45b92a1fed400939fb09567b6b5e90acc115e683447","Curated Hell enemy source."
"enemy_hell_sineater","Sineater","enemy","single_subject_png","model_ready","ModelReady\Enemies\Hell\sineater_hell_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\SinEater\sineater_hell_uncanny_house_v01.png","1273809","1836709180a4fc86977cd9aee904ad7dc93b6f511add8f0601cc81b4f7cf3bf9","Curated Hell enemy source."
"enemy_martian_crystalbomber","Crystalbomber","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\crystalbomber_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\CrystalBomber\crystalbomber_martian_uncanny_house_v01.png","1445508","5ed8808123f7f30904b948ad1fba715232e1d56cce05ef4188c24d74a866f874","Curated Martian enemy source."
"enemy_martian_crystalcrawler","Crystalcrawler","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\crystalcrawler_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\CrystalCrawler\crystalcrawler_martian_uncanny_house_v01.png","1100553","f92a1ca24ca0cc515e5bbdcea284802f9f9bf6d7ebc16312a1284ef087f131a0","Curated Martian enemy source."
"enemy_martian_cyberlich","Cyberlich","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\cyberlich_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\CyberLich\cyberlich_martian_uncanny_house_v01.png","1134732","87a7f0e9f3979205e0d41ae3ce5b4e6dc6cab8c421ef9c147fbca2dc284c7198","Curated Martian enemy source."
"enemy_martian_dronegrunt","Dronegrunt","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\dronegrunt_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\DroneGrunt\dronegrunt_martian_uncanny_house_v01.png","1062252","9322f6d91a7d09098d005d1b5084a7815f88372bfeeec4c696299a929197838f","Curated Martian enemy source."
"enemy_martian_mindslug","Mindslug","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\mindslug_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\MindSlug\mindslug_martian_uncanny_house_v01.png","1248980","18890978e69640abf0a65a61802bdd14be2ea543ff66514aabe95cb89059ea84","Curated Martian enemy source."
"enemy_martian_plasmasentinel","Plasmasentinel","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\plasmasentinel_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\PlasmaSentinel\plasmasentinel_martian_uncanny_house_v01.png","1280275","1007fce864258f5e031060fc58c099ca3936fb13d13fada1dc9aceab8b828913","Curated Martian enemy source."
"enemy_martian_plasmaspitter","Plasmaspitter","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\plasmaspitter_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\PlasmaSpitter\plasmaspitter_martian_uncanny_house_v01.png","1117256","c9f6ed8925a9c20f55bf9251f65dfd8966ff8660daba28e84bb2ae9ce03eb671","Curated Martian enemy source."
"enemy_martian_rocketleaper","Rocketleaper","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\rocketleaper_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\RocketLeaper\rocketleaper_martian_uncanny_house_v01.png","1127412","a88a17614e470873fef60b5f4473f69c1dd35462e6e8ff3546e749dc9e084332","Curated Martian enemy source."
"enemy_martian_sandtunneler","Sandtunneler","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\sandtunneler_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\SandTunneler\sandtunneler_martian_uncanny_house_v01.png","1193828","2aa5362d862a6c7d53c4adefdf96be9146d77043f2c8287d86e877eacf1ab519","Curated Martian enemy source."
"enemy_martian_saucerdrone","Saucerdrone","enemy","single_subject_png","model_ready","ModelReady\Enemies\Martian\saucerdrone_martian_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\SaucerDrone\saucerdrone_martian_uncanny_house_v01.png","1104483","740414637eaef47eee1294ab44f7b0f8b1320f85df32365b830e888a85f8ac57","Curated Martian enemy source."
"prop_lootcrate","Loot Crate","prop","single_subject_png","model_ready","ModelReady\Props\LootCrate\lootcrate_reference_shape_purple_orange_v03.png","SourceAssets\ToonStyle\ImageGen\PropStyleLock_FlatHorror\Sheets\lootcrate_reference_shape_purple_orange_v03.png","1082866","d95f3207aa3e2cde6098f53956b7d5fe742f8af35fd970de2b022fd425116722","Latest accepted COD-zombies-box-shaped loot crate colorway."
"sheet_stage1_dungeon_enemies","Stage 1 Dungeon Enemy Grid","enemy_sheet","reference_sheet_png","needs_split","ReviewSheets\Enemies\DungeonHorror_Stage1_5x2_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\DungeonHorror_Stage1_5x2_v02.png","989169","ca5ad04f8f0c9a61f86b7129fa5a6eaee94c029d88e346ac9a067e9efe2b7641","Reference contact sheet only; use individual ModelReady enemy files for generation."
"sheet_forest_enemies","Forest Enemy Grid","enemy_sheet","reference_sheet_png","needs_split","ReviewSheets\Enemies\Forest_2x5_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Forest\Forest_2x5_v01.png","1140221","16b717bcf58909339cdcfa954538063ff952beba95bab4304e86ee4c7c20c81d","Reference contact sheet; individual forest sources are also copied."
"sheet_ocean_enemies","Ocean Enemy Grid","enemy_sheet","reference_sheet_png","needs_split","ReviewSheets\Enemies\Ocean_2x5_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Ocean\Ocean_2x5_v01.png","996946","ee659fed1307a49efd0049aa47058bd226cdbe8a277fc59d580819249ffbc24d","Reference contact sheet; individual ocean sources are also copied."
"sheet_hell_enemies","Hell Enemy Grid","enemy_sheet","reference_sheet_png","needs_split","ReviewSheets\Enemies\Hell_2x5_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Hell\Hell_2x5_v01.png","1106852","841ee3ee60469416fbcd3e7650e3baaad7a0681e3d49f0308cc49e65a76099b6","Reference contact sheet; individual hell sources are also copied."
"sheet_martian_enemies","Martian Enemy Grid","enemy_sheet","reference_sheet_png","needs_split","ReviewSheets\Enemies\Martian_2x5_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Martian\Martian_2x5_v01.png","1083483","beedccfcb2ccd506b4e55239d4c398e214c35dc02f6f88ed0258e159cef7a01d","Reference contact sheet; individual martian sources are also copied."
"sheet_props_core_10","Core Props Sheet 10","prop_sheet","reference_sheet_png","needs_split","ReviewSheets\Props\props_sheet01_core_10_v01.png","SourceAssets\ToonStyle\ImageGen\PropStyleLock_FlatHorror\Sheets\props_sheet01_core_10_v01.png","2761211","b1e6a4b40a1650bb8ec8cea5b1ffc88bde39405770624aabaea2b31c00ae3069","Interactables/contact sheet. Split to one-subject images before Pixal3D."
"sheet_props_weapon_boost_9","Weapon Boost Props Sheet 9","prop_sheet","reference_sheet_png","needs_split","ReviewSheets\Props\props_sheet02_weapon_boost_9_v02.png","SourceAssets\ToonStyle\ImageGen\PropStyleLock_FlatHorror\Sheets\props_sheet02_weapon_boost_9_v02.png","2357544","35c03ce4a2159cd021c8180717904b3e175298c85d777291c80c1185bb809b53","Latest weapon/boost/contact sheet. Split to one-subject images before Pixal3D."
"sheet_props_gates_visualprops_7","Gates And Visual Props Sheet 7","prop_sheet","reference_sheet_png","needs_split","ReviewSheets\Props\props_sheet03_gates_visualprops_7_v01.png","SourceAssets\ToonStyle\ImageGen\PropStyleLock_FlatHorror\Sheets\props_sheet03_gates_visualprops_7_v01.png","2720365","9114ed112e3c4874c4e2f61d153d7a388c4df276bff2d44aa91f980a2929e944","Gates and visual props contact sheet. Split to one-subject images before Pixal3D."
"sheet_props_gate_crate_fix_3","Gate And Crate Fix Sheet 3","prop_sheet","reference_sheet_png","needs_split","ReviewSheets\Props\props_sheet03_gates_visualprops_3fix_v02.png","SourceAssets\ToonStyle\ImageGen\PropStyleLock_FlatHorror\Sheets\props_sheet03_gates_visualprops_3fix_v02.png","1497290","fc344a85e6c30ace2bd07601535b649927f8defc69ebff93557b27e170182d7f","Revision sheet for crate/gate corrections. Split usable subjects before Pixal3D."
