---,TuningKey,Value
BorrowDebtDivisor,BorrowDebtDivisor,4
BorrowAnger,BorrowAnger,0.05
PayDebtMinPayment,PayDebtMinPayment,1
PayDebtAngerReduction,PayDebtAngerReduction,0.08
StealBaseChance,StealBaseChance,0.18
StealSupportChance,StealSupportChance,0.05
StealAngerPenalty,StealAngerPenalty,0.22
StealMinChance,StealMinChance,0.08
StealMaxChance,StealMaxChance,0.72
StealSuccessAnger,StealSuccessAnger,0.16
StealFailAnger,StealFailAnger,0.30
StealFailDebtMin,StealFailDebtMin,8
StealFailDebtFlat,StealFailDebtFlat,6
BuybackMinCost,BuybackMinCost,1
AlchemyTransmuteAnger,AlchemyTransmuteAnger,0.06
AlchemyDissolveMinValue,AlchemyDissolveMinValue,4
AlchemyDissolveFallbackValue,AlchemyDissolveFallbackValue,8
AlchemyDebtBurnMultiplier,AlchemyDebtBurnMultiplier,2
AlchemyDissolveAnger,AlchemyDissolveAnger,0.04
AngerMax,AngerMax,1.5
BacklashThreshold,BacklashThreshold,1
BacklashResetAnger,BacklashResetAnger,0.35
BacklashDebtAdd,BacklashDebtAdd,28
BacklashGoldSeizeMax,BacklashGoldSeizeMax,20
PlinkoMissThreshold,PlinkoMissThreshold,0.18
PlinkoLowThreshold,PlinkoLowThreshold,0.48
PlinkoMidThreshold,PlinkoMidThreshold,0.78
PlinkoHighThreshold,PlinkoHighThreshold,0.94
PlinkoLowMultiplier,PlinkoLowMultiplier,0.5
PlinkoMidMultiplier,PlinkoMidMultiplier,1.2
PlinkoHighMultiplier,PlinkoHighMultiplier,2.2
PlinkoJackpotMultiplier,PlinkoJackpotMultiplier,4.5
DamageArmorMitigationDenominator,DamageArmorMitigationDenominator,20
IncomingDamageMin,IncomingDamageMin,1
IronWillLowHealthThreshold,IronWillLowHealthThreshold,0.35
IronWillLowHealthDamageScalar,IronWillLowHealthDamageScalar,0.72
IronWillDamageScalar,IronWillDamageScalar,0.86
UnflinchingDamageScalar,UnflinchingDamageScalar,0.84
EnduranceCheatHealth,EnduranceCheatHealth,1
EnduranceBuffDuration,EnduranceBuffDuration,4
EnduranceDamageMultiplier,EnduranceDamageMultiplier,1.18
QuickReviveHealthScalar,QuickReviveHealthScalar,0.45
QuickReviveMinHealth,QuickReviveMinHealth,24
LifeStealHealMin,LifeStealHealMin,1
LifeStealDamageScalar,LifeStealDamageScalar,0.08
PassiveIronWillArmorAdd,PassiveIronWillArmorAdd,1.5
PassiveArcaneDamageAdd,PassiveArcaneDamageAdd,0.6
PassiveMarksmanRangeAdd,PassiveMarksmanRangeAdd,90
PassiveToxinDotDamageAdd,PassiveToxinDotDamageAdd,0.5
PassiveQuickDrawCritChanceAdd,PassiveQuickDrawCritChanceAdd,0.04
PassiveHeadshotCritChanceAdd,PassiveHeadshotCritChanceAdd,0.08
PassiveHeadshotRangeAdd,PassiveHeadshotRangeAdd,150
PassiveSpeedsterAttackSpeedAdd,PassiveSpeedsterAttackSpeedAdd,0.18
PassiveChaosLuckAdd,PassiveChaosLuckAdd,0.8
PassiveEnduranceHealthAdd,PassiveEnduranceHealthAdd,12
PassiveBrawlersDamageAdd,PassiveBrawlersDamageAdd,0.45
PassiveUnflinchingArmorAdd,PassiveUnflinchingArmorAdd,2
PassiveUnflinchingHealthAdd,PassiveUnflinchingHealthAdd,16
PassiveTreasureMaterialGainAdd,PassiveTreasureMaterialGainAdd,0.25
PassiveTreasureGoldGainAdd,PassiveTreasureGoldGainAdd,0.20
PassiveTreasureLuckAdd,PassiveTreasureLuckAdd,1
PassiveEvasiveChanceAdd,PassiveEvasiveChanceAdd,0.10
PassiveEvasiveMoveSpeedAdd,PassiveEvasiveMoveSpeedAdd,80
PassiveFrostbiteDamageMultiplierAdd,PassiveFrostbiteDamageMultiplierAdd,0.04
PassiveQuickDrawChargeMax,PassiveQuickDrawChargeMax,2
GoldRushTreasureHunterGoldScalar,GoldRushTreasureHunterGoldScalar,1.20
GoldRushActiveGoldScalar,GoldRushActiveGoldScalar,1.6
PassiveRallyAttackSpeedPerStack,PassiveRallyAttackSpeedPerStack,0.14
PassiveBrawlersAttackSpeedPerStack,PassiveBrawlersAttackSpeedPerStack,0.08
PassiveOverclockAttackSpeedPerStack,PassiveOverclockAttackSpeedPerStack,0.10
PassiveBrawlersDamagePerStack,PassiveBrawlersDamagePerStack,0.06
PassiveMarksmanDamagePerStack,PassiveMarksmanDamagePerStack,0.08
PassiveToxinDotTargetDamageScalar,PassiveToxinDotTargetDamageScalar,1.16
PassiveQuickDrawReadyThreshold,PassiveQuickDrawReadyThreshold,1.4
PassiveQuickDrawDamageScalar,PassiveQuickDrawDamageScalar,1.45
PassiveHeadshotCritChanceCombatAdd,PassiveHeadshotCritChanceCombatAdd,0.10
PassiveHeadshotGuaranteedCritEvery,PassiveHeadshotGuaranteedCritEvery,6
PassiveOverclockMaxStacks,PassiveOverclockMaxStacks,5
PassiveOverclockBuffDuration,PassiveOverclockBuffDuration,2.2
PassiveChaosBounceEvery,PassiveChaosBounceEvery,5
PassiveRallyMaxStacks,PassiveRallyMaxStacks,3
PassiveRallyBuffDuration,PassiveRallyBuffDuration,3.5
PassiveTreasureKillGold,PassiveTreasureKillGold,2
PassiveTreasureBossGoldBonus,PassiveTreasureBossGoldBonus,6
PassiveBrawlersMaxStacks,PassiveBrawlersMaxStacks,4
PassiveBrawlersBuffDuration,PassiveBrawlersBuffDuration,5
PassiveIronWillRegenHealthThreshold,PassiveIronWillRegenHealthThreshold,0.30
PassiveIronWillRegenPerSecond,PassiveIronWillRegenPerSecond,1.6
PassiveMarksmanMaxStacks,PassiveMarksmanMaxStacks,5
PassiveStaticChargeEvery,PassiveStaticChargeEvery,4
PassiveStaticChargeRange,PassiveStaticChargeRange,380
PassiveStaticChargeDamageScalar,PassiveStaticChargeDamageScalar,0.60
PassiveFrostbiteEvery,PassiveFrostbiteEvery,4
PassiveFrostbiteStun,PassiveFrostbiteStun,0.22
PassiveChaosBounceRange,PassiveChaosBounceRange,340
PassiveChaosBounceDamageScalar,PassiveChaosBounceDamageScalar,0.72
PassiveEvasiveDotMin,PassiveEvasiveDotMin,1
PassiveEvasiveDotDamageScalar,PassiveEvasiveDotDamageScalar,0.18
PassiveEvasiveDotTickInterval,PassiveEvasiveDotTickInterval,0.45
PassiveEvasiveDotDuration,PassiveEvasiveDotDuration,2.6
UltimateBaseDamageStatScalar,UltimateBaseDamageStatScalar,2
UltimateBaseDamageLevelScalar,UltimateBaseDamageLevelScalar,1.4
PassiveArcaneUltimateDamageScalar,PassiveArcaneUltimateDamageScalar,1.15
PassiveRallyUltimateDamagePerStack,PassiveRallyUltimateDamagePerStack,0.08
UltimateSpearStormSideProjectiles,UltimateSpearStormSideProjectiles,2
UltimateSpearStormAngleStep,UltimateSpearStormAngleStep,7
UltimateSpearStormSpawnDistance,UltimateSpearStormSpawnDistance,180
UltimateSpearStormDamageScalar,UltimateSpearStormDamageScalar,1.25
UltimateSpearStormProjectileSpeed,UltimateSpearStormProjectileSpeed,2600
UltimateSpearStormProjectileRadius,UltimateSpearStormProjectileRadius,240
UltimateSpearStormPierceCount,UltimateSpearStormPierceCount,4
UltimateSpearStormCooldown,UltimateSpearStormCooldown,18
UltimateMeteorCount,UltimateMeteorCount,5
UltimateMeteorScatter,UltimateMeteorScatter,360
UltimateMeteorDamageScalar,UltimateMeteorDamageScalar,1.5
UltimateMeteorRadius,UltimateMeteorRadius,320
UltimateMeteorDelayBase,UltimateMeteorDelayBase,0.28
UltimateMeteorDelayStep,UltimateMeteorDelayStep,0.12
UltimateMeteorCooldown,UltimateMeteorCooldown,20
UltimateChainLightningRadius,UltimateChainLightningRadius,1250
UltimateChainLightningDamageScalar,UltimateChainLightningDamageScalar,1.18
UltimateChainLightningStun,UltimateChainLightningStun,0.12
UltimateChainLightningCooldown,UltimateChainLightningCooldown,18
UltimatePlagueCloudRadius,UltimatePlagueCloudRadius,360
UltimatePlagueCloudTickDamageScalar,UltimatePlagueCloudTickDamageScalar,0.40
UltimatePlagueCloudTickInterval,UltimatePlagueCloudTickInterval,0.40
UltimatePlagueCloudDuration,UltimatePlagueCloudDuration,5.2
UltimatePlagueCloudCooldown,UltimatePlagueCloudCooldown,17
UltimatePrecisionStrikeDamageScalar,UltimatePrecisionStrikeDamageScalar,2.6
UltimateSniperDamageScalar,UltimateSniperDamageScalar,3
UltimateSniperProjectileSpeed,UltimateSniperProjectileSpeed,3200
UltimateSniperProjectileRadius,UltimateSniperProjectileRadius,260
UltimateSniperPierceCount,UltimateSniperPierceCount,6
UltimateSniperStun,UltimateSniperStun,0.15
UltimatePrecisionStrikeCooldown,UltimatePrecisionStrikeCooldown,16
UltimateSniperCooldown,UltimateSniperCooldown,19
UltimateFanSideProjectiles,UltimateFanSideProjectiles,3
UltimateFanAngleStep,UltimateFanAngleStep,5
UltimateFanSpawnDistance,UltimateFanSpawnDistance,160
UltimateFanDamageScalar,UltimateFanDamageScalar,0.78
UltimateFanProjectileSpeed,UltimateFanProjectileSpeed,3000
UltimateFanProjectileRadius,UltimateFanProjectileRadius,170
UltimateFanPierceCount,UltimateFanPierceCount,2
UltimateFanCooldown,UltimateFanCooldown,16
UltimateDischargeRadius,UltimateDischargeRadius,520
UltimateDischargeDamageScalar,UltimateDischargeDamageScalar,1.05
UltimateDischargeStun,UltimateDischargeStun,0.26
UltimateDischargeCooldown,UltimateDischargeCooldown,17
UltimateJuicedDamageMultiplier,UltimateJuicedDamageMultiplier,1.45
UltimateJuicedDuration,UltimateJuicedDuration,6
UltimateJuicedCooldown,UltimateJuicedCooldown,22
UltimateDeathSpiralBurstCount,UltimateDeathSpiralBurstCount,4
UltimateDeathSpiralDamageScalarBase,UltimateDeathSpiralDamageScalarBase,0.90
UltimateDeathSpiralDamageScalarStep,UltimateDeathSpiralDamageScalarStep,0.16
UltimateDeathSpiralRadiusBase,UltimateDeathSpiralRadiusBase,260
UltimateDeathSpiralRadiusStep,UltimateDeathSpiralRadiusStep,110
UltimateDeathSpiralDelayBase,UltimateDeathSpiralDelayBase,0.05
UltimateDeathSpiralDelayStep,UltimateDeathSpiralDelayStep,0.18
UltimateDeathSpiralDotDamageScalar,UltimateDeathSpiralDotDamageScalar,0.18
UltimateDeathSpiralDotDuration,UltimateDeathSpiralDotDuration,2.2
UltimateDeathSpiralCooldown,UltimateDeathSpiralCooldown,20
UltimateShockwaveRadius,UltimateShockwaveRadius,460
UltimateShockwaveDamageScalar,UltimateShockwaveDamageScalar,1.35
UltimateShockwaveStun,UltimateShockwaveStun,0.22
UltimateShockwaveCooldown,UltimateShockwaveCooldown,17
UltimateTidalWaveBurstCount,UltimateTidalWaveBurstCount,4
UltimateTidalWaveSpacing,UltimateTidalWaveSpacing,220
UltimateTidalWaveDamageScalar,UltimateTidalWaveDamageScalar,0.92
UltimateTidalWaveRadius,UltimateTidalWaveRadius,280
UltimateTidalWaveDelayStep,UltimateTidalWaveDelayStep,0.12
UltimateTidalWaveStun,UltimateTidalWaveStun,0.12
UltimateTidalWaveCooldown,UltimateTidalWaveCooldown,18
UltimateGoldRushDuration,UltimateGoldRushDuration,7.5
UltimateGoldRushBurstCount,UltimateGoldRushBurstCount,5
UltimateGoldRushAngleStep,UltimateGoldRushAngleStep,72
UltimateGoldRushOffset,UltimateGoldRushOffset,240
UltimateGoldRushRadius,UltimateGoldRushRadius,220
UltimateGoldRushDelayStep,UltimateGoldRushDelayStep,0.08
UltimateGoldRushCooldown,UltimateGoldRushCooldown,21
UltimateMiasmaBurstDamageScalar,UltimateMiasmaBurstDamageScalar,1.25
UltimateMiasmaBurstRadius,UltimateMiasmaBurstRadius,300
UltimateMiasmaBurstDelay,UltimateMiasmaBurstDelay,0.25
UltimateMiasmaBurstDotDamageScalar,UltimateMiasmaBurstDotDamageScalar,0.16
UltimateMiasmaBurstDotDuration,UltimateMiasmaBurstDotDuration,3.2
UltimateMiasmaAreaRadius,UltimateMiasmaAreaRadius,260
UltimateMiasmaAreaTickDamageScalar,UltimateMiasmaAreaTickDamageScalar,0.24
UltimateMiasmaAreaTickInterval,UltimateMiasmaAreaTickInterval,0.45
UltimateMiasmaAreaDuration,UltimateMiasmaAreaDuration,4.4
UltimateMiasmaCooldown,UltimateMiasmaCooldown,18
UltimateRabidDamageMultiplier,UltimateRabidDamageMultiplier,1.35
UltimateRabidDuration,UltimateRabidDuration,6.5
UltimateRabidHealScalar,UltimateRabidHealScalar,0.12
UltimateRabidAreaRadius,UltimateRabidAreaRadius,260
UltimateRabidAreaTickDamageScalar,UltimateRabidAreaTickDamageScalar,0.18
UltimateRabidAreaTickInterval,UltimateRabidAreaTickInterval,0.45
UltimateRabidAreaDuration,UltimateRabidAreaDuration,4
UltimateRabidCooldown,UltimateRabidCooldown,19
UltimateBlizzardRadius,UltimateBlizzardRadius,420
UltimateBlizzardTickDamageScalar,UltimateBlizzardTickDamageScalar,0.34
UltimateBlizzardTickInterval,UltimateBlizzardTickInterval,0.42
UltimateBlizzardDuration,UltimateBlizzardDuration,5.5
UltimateBlizzardStun,UltimateBlizzardStun,0.08
UltimateBlizzardCooldown,UltimateBlizzardCooldown,19
