"Scope","Target","Category","File","Bytes"
"Screens","Achievements","Controls","SourceAssets\UI\Reference\Screens\Achievements\Controls\achievements_controls_controls_sheet.png","836862"
"Screens","Achievements","Controls","SourceAssets\UI\Reference\Screens\Achievements\Controls\achievements_controls_reference_dropdown_field_normal.png","1218937"
"Screens","Achievements","Panels","SourceAssets\UI\Reference\Screens\Achievements\Panels\achievements_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","Achievements","Panels","SourceAssets\UI\Reference\Screens\Achievements\Panels\achievements_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","Challenges","Controls","SourceAssets\UI\Reference\Screens\Challenges\Controls\challenges_controls_controls_sheet.png","836862"
"Screens","Challenges","Panels","SourceAssets\UI\Reference\Screens\Challenges\Panels\challenges_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","Challenges","Panels","SourceAssets\UI\Reference\Screens\Challenges\Panels\challenges_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","CompanionSelection","Controls","SourceAssets\UI\Reference\Screens\CompanionSelection\Controls\companionselection_controls_controls_sheet.png","836862"
"Screens","CompanionSelection","Controls","SourceAssets\UI\Reference\Screens\CompanionSelection\Controls\companionselection_controls_reference_dropdown_field_normal.png","1218937"
"Screens","CompanionSelection","Panels","SourceAssets\UI\Reference\Screens\CompanionSelection\Panels\companionselection_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","CompanionSelection","Panels","SourceAssets\UI\Reference\Screens\CompanionSelection\Panels\companionselection_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","CompanionSelection","ScreenArt","SourceAssets\UI\Reference\Screens\CompanionSelection\ScreenArt\companionselection_screen_art_mainmenu_main_menu_scene_plate_v1.png","2788630"
"Screens","CompanionSelection","Slots","SourceAssets\UI\Reference\Screens\CompanionSelection\Slots\companionselection_slots_reference_square_slot_frame_normal.png","1174905"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_cta_disabled.png","82944"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_cta_hover.png","107345"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_cta_normal.png","107958"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_cta_pressed.png","83485"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_pill_disabled.png","1033937"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_pill_hover.png","1033937"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_pill_normal.png","1033937"
"Screens","DailyClimb","Buttons","SourceAssets\UI\Reference\Screens\DailyClimb\Buttons\dailyclimb_buttons_pill_pressed.png","1033937"
"Screens","DailyClimb","Panels","SourceAssets\UI\Reference\Screens\DailyClimb\Panels\dailyclimb_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","DailyClimb","Panels","SourceAssets\UI\Reference\Screens\DailyClimb\Panels\dailyclimb_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","DailyClimb","Panels","SourceAssets\UI\Reference\Screens\DailyClimb\Panels\dailyclimb_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","HeroSelection","Buttons","SourceAssets\UI\Reference\Screens\HeroSelection\Buttons\heroselection_buttons_pill_disabled.png","1033937"
"Screens","HeroSelection","Controls","SourceAssets\UI\Reference\Screens\HeroSelection\Controls\heroselection_controls_controls_sheet.png","836862"
"Screens","HeroSelection","Controls","SourceAssets\UI\Reference\Screens\HeroSelection\Controls\heroselection_controls_reference_dropdown_field_normal.png","1218937"
"Screens","HeroSelection","Icons","SourceAssets\UI\Reference\Screens\HeroSelection\Icons\heroselection_iconsgenerated_icon_07_coupon_ticket_white_v1.png","1883300"
"Screens","HeroSelection","Panels","SourceAssets\UI\Reference\Screens\HeroSelection\Panels\heroselection_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","HeroSelection","Panels","SourceAssets\UI\Reference\Screens\HeroSelection\Panels\heroselection_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","HeroSelection","Panels","SourceAssets\UI\Reference\Screens\HeroSelection\Panels\heroselection_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","HeroSelection","Slots","SourceAssets\UI\Reference\Screens\HeroSelection\Slots\heroselection_slots_reference_square_slot_frame_normal.png","1174905"
"Screens","LanguageSelect","Controls","SourceAssets\UI\Reference\Screens\LanguageSelect\Controls\languageselect_controls_controls_sheet.png","836862"
"Screens","LanguageSelect","Panels","SourceAssets\UI\Reference\Screens\LanguageSelect\Panels\languageselect_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","LanguageSelect","Panels","SourceAssets\UI\Reference\Screens\LanguageSelect\Panels\languageselect_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_cta_disabled.png","82944"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_cta_hover.png","107345"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_cta_normal.png","107958"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_cta_pressed.png","83485"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_pill_disabled.png","1033937"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_pill_hover.png","1033937"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_pill_normal.png","1033937"
"Screens","MainMenu","Buttons","SourceAssets\UI\Reference\Screens\MainMenu\Buttons\mainmenu_buttons_pill_pressed.png","1033937"
"Screens","MainMenu","Fields","SourceAssets\UI\Reference\Screens\MainMenu\Fields\mainmenu_fields_search_field_normal.png","312300"
"Screens","MainMenu","Icons","SourceAssets\UI\Reference\Screens\MainMenu\Icons\mainmenu_iconsgenerated_icon_08_power_quit_red.png","49832"
"Screens","MainMenu","Icons","SourceAssets\UI\Reference\Screens\MainMenu\Icons\mainmenu_iconsgenerated_icon_12_search_magnifier_v2.png","64439"
"Screens","MainMenu","Panels","SourceAssets\UI\Reference\Screens\MainMenu\Panels\mainmenu_panels_inner_panel_normal.png","1925457"
"Screens","MainMenu","Panels","SourceAssets\UI\Reference\Screens\MainMenu\Panels\mainmenu_panels_reference_scroll_paper_frame_v1.png","312300"
"Screens","MainMenu","ScreenArt","SourceAssets\UI\Reference\Screens\MainMenu\ScreenArt\mainmenu_screen_art_mainmenu_main_menu_wordmark_white_v1_cropped.png","840606"
"Screens","MainMenu","ScreenArt","SourceAssets\UI\Reference\Screens\MainMenu\ScreenArt\mainmenu_screen_art_mainmenu_newmm_main_menu_newmm_base_1920.png","2045471"
"Screens","MainMenu","ScreenArt","SourceAssets\UI\Reference\Screens\MainMenu\ScreenArt\mainmenu_screen_art_mainmenu_newmm_main_menu_newmm_foreground_occluder.png","8117"
"Screens","MainMenu","Slots","SourceAssets\UI\Reference\Screens\MainMenu\Slots\mainmenu_slots_reference_square_slot_frame_normal.png","1174905"
"Screens","PowerUp","Controls","SourceAssets\UI\Reference\Screens\PowerUp\Controls\powerup_controls_controls_sheet.png","836862"
"Screens","PowerUp","Controls","SourceAssets\UI\Reference\Screens\PowerUp\Controls\powerup_controls_reference_dropdown_field_normal.png","1218937"
"Screens","PowerUp","Icons","SourceAssets\UI\Reference\Screens\PowerUp\Icons\powerup_iconsgenerated_icon_07_coupon_ticket_white_v1.png","1883300"
"Screens","PowerUp","Panels","SourceAssets\UI\Reference\Screens\PowerUp\Panels\powerup_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","PowerUp","Panels","SourceAssets\UI\Reference\Screens\PowerUp\Panels\powerup_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","RunSummary","Controls","SourceAssets\UI\Reference\Screens\RunSummary\Controls\runsummary_controls_controls_sheet.png","836862"
"Screens","RunSummary","Panels","SourceAssets\UI\Reference\Screens\RunSummary\Panels\runsummary_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","RunSummary","Panels","SourceAssets\UI\Reference\Screens\RunSummary\Panels\runsummary_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","RunSummary","Panels","SourceAssets\UI\Reference\Screens\RunSummary\Panels\runsummary_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","RunSummary","Slots","SourceAssets\UI\Reference\Screens\RunSummary\Slots\runsummary_slots_reference_square_slot_frame_normal.png","1174905"
"Screens","SaveSlots","Controls","SourceAssets\UI\Reference\Screens\SaveSlots\Controls\saveslots_controls_reference_dropdown_field_normal.png","1218937"
"Screens","SaveSlots","Panels","SourceAssets\UI\Reference\Screens\SaveSlots\Panels\saveslots_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","SaveSlots","Panels","SourceAssets\UI\Reference\Screens\SaveSlots\Panels\saveslots_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","SaveSlots","ScreenArt","SourceAssets\UI\Reference\Screens\SaveSlots\ScreenArt\saveslots_screen_art_mainmenu_main_menu_scene_plate_v1.png","2788630"
"Screens","SaveSlots","Slots","SourceAssets\UI\Reference\Screens\SaveSlots\Slots\saveslots_slots_reference_square_slot_frame_normal.png","1174905"
"Screens","Settings","Buttons","SourceAssets\UI\Reference\Screens\Settings\Buttons\settings_buttons_pill_disabled.png","1033937"
"Screens","Settings","Controls","SourceAssets\UI\Reference\Screens\Settings\Controls\settings_controls_reference_dropdown_field_normal.png","1218937"
"Screens","Settings","Panels","SourceAssets\UI\Reference\Screens\Settings\Panels\settings_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","Settings","Panels","SourceAssets\UI\Reference\Screens\Settings\Panels\settings_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","TemporaryBuffSelection","Buttons","SourceAssets\UI\Reference\Screens\TemporaryBuffSelection\Buttons\temporarybuffselection_buttons_pill_disabled.png","1033937"
"Screens","TemporaryBuffSelection","Controls","SourceAssets\UI\Reference\Screens\TemporaryBuffSelection\Controls\temporarybuffselection_controls_controls_sheet.png","836862"
"Screens","TemporaryBuffSelection","Panels","SourceAssets\UI\Reference\Screens\TemporaryBuffSelection\Panels\temporarybuffselection_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","TemporaryBuffSelection","Panels","SourceAssets\UI\Reference\Screens\TemporaryBuffSelection\Panels\temporarybuffselection_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","TemporaryBuffSelection","Panels","SourceAssets\UI\Reference\Screens\TemporaryBuffSelection\Panels\temporarybuffselection_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","TemporaryBuffShop","Buttons","SourceAssets\UI\Reference\Screens\TemporaryBuffShop\Buttons\temporarybuffshop_buttons_pill_disabled.png","1033937"
"Screens","TemporaryBuffShop","Controls","SourceAssets\UI\Reference\Screens\TemporaryBuffShop\Controls\temporarybuffshop_controls_controls_sheet.png","836862"
"Screens","TemporaryBuffShop","Panels","SourceAssets\UI\Reference\Screens\TemporaryBuffShop\Panels\temporarybuffshop_panels_fullscreen_fullscreen_panel_tall.png","1653870"
"Screens","TemporaryBuffShop","Panels","SourceAssets\UI\Reference\Screens\TemporaryBuffShop\Panels\temporarybuffshop_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Shared","Buttons","CTA","SourceAssets\UI\Reference\Shared\Buttons\CTA\disabled.png","82944"
"Shared","Buttons","CTA","SourceAssets\UI\Reference\Shared\Buttons\CTA\hover.png","107345"
"Shared","Buttons","CTA","SourceAssets\UI\Reference\Shared\Buttons\CTA\normal.png","107958"
"Shared","Buttons","CTA","SourceAssets\UI\Reference\Shared\Buttons\CTA\pressed.png","83485"
"Shared","Buttons","CTA","SourceAssets\UI\Reference\Shared\Buttons\CTA\selected.png","1165763"
"Shared","Buttons","DangerCTA","SourceAssets\UI\Reference\Shared\Buttons\DangerCTA\disabled.png","774518"
"Shared","Buttons","DangerCTA","SourceAssets\UI\Reference\Shared\Buttons\DangerCTA\hover.png","1231770"
"Shared","Buttons","DangerCTA","SourceAssets\UI\Reference\Shared\Buttons\DangerCTA\normal.png","589920"
"Shared","Buttons","DangerCTA","SourceAssets\UI\Reference\Shared\Buttons\DangerCTA\pressed.png","709800"
"Shared","Buttons","Pill","SourceAssets\UI\Reference\Shared\Buttons\Pill\disabled.png","1033937"
"Shared","Buttons","Pill","SourceAssets\UI\Reference\Shared\Buttons\Pill\hover.png","1033937"
"Shared","Buttons","Pill","SourceAssets\UI\Reference\Shared\Buttons\Pill\normal.png","1033937"
"Shared","Buttons","Pill","SourceAssets\UI\Reference\Shared\Buttons\Pill\pressed.png","1033937"
"Shared","Buttons","Pill","SourceAssets\UI\Reference\Shared\Buttons\Pill\selected.png","1165763"
"Shared","Buttons","SquareIcon","SourceAssets\UI\Reference\Shared\Buttons\SquareIcon\disabled.png","1416411"
"Shared","Buttons","SquareIcon","SourceAssets\UI\Reference\Shared\Buttons\SquareIcon\hover.png","1416411"
"Shared","Buttons","SquareIcon","SourceAssets\UI\Reference\Shared\Buttons\SquareIcon\normal.png","1416411"
"Shared","Buttons","SquareIcon","SourceAssets\UI\Reference\Shared\Buttons\SquareIcon\pressed.png","1416411"
"Shared","Buttons","SquareIcon","SourceAssets\UI\Reference\Shared\Buttons\SquareIcon\selected.png","1416411"
"Shared","Controls","controls_sheet.png","SourceAssets\UI\Reference\Shared\Controls\controls_sheet.png","836862"
"Shared","Controls","Input","SourceAssets\UI\Reference\Shared\Controls\Input\message_trough_empty.png","568694"
"Shared","Controls","Input","SourceAssets\UI\Reference\Shared\Controls\Input\multiline_input_disabled.png","698042"
"Shared","Controls","Input","SourceAssets\UI\Reference\Shared\Controls\Input\multiline_input_focused.png","791665"
"Shared","Controls","Input","SourceAssets\UI\Reference\Shared\Controls\Input\multiline_input_normal.png","807926"
"Shared","Controls","radio_circle_normal.png","SourceAssets\UI\Reference\Shared\Controls\radio_circle_normal.png","673"
"Shared","Controls","radio_circle_selected.png","SourceAssets\UI\Reference\Shared\Controls\radio_circle_selected.png","673"
"Shared","Controls","reference_dropdown_field_normal.png","SourceAssets\UI\Reference\Shared\Controls\reference_dropdown_field_normal.png","1218937"
"Shared","Fields","search_field_normal.png","SourceAssets\UI\Reference\Shared\Fields\search_field_normal.png","312300"
"Shared","Icons","coupon_ticket.png","SourceAssets\UI\Reference\Shared\Icons\coupon_ticket.png","1883300"
"Shared","Icons","dropdown_chevron.png","SourceAssets\UI\Reference\Shared\Icons\dropdown_chevron.png","37751"
"Shared","Icons","language.png","SourceAssets\UI\Reference\Shared\Icons\language.png","41002"
"Shared","Icons","power_quit.png","SourceAssets\UI\Reference\Shared\Icons\power_quit.png","49832"
"Shared","Icons","search_magnifier.png","SourceAssets\UI\Reference\Shared\Icons\search_magnifier.png","64439"
"Shared","Icons","settings_gear.png","SourceAssets\UI\Reference\Shared\Icons\settings_gear.png","53752"
"Shared","Panels","Fullscreen","SourceAssets\UI\Reference\Shared\Panels\Fullscreen\fullscreen_panel_tall.png","1653870"
"Shared","Panels","Fullscreen","SourceAssets\UI\Reference\Shared\Panels\Fullscreen\fullscreen_panel_wide.png","1534669"
"Shared","Panels","Fullscreen","SourceAssets\UI\Reference\Shared\Panels\Fullscreen\row_shell_quiet.png","514164"
"Shared","Panels","Fullscreen","SourceAssets\UI\Reference\Shared\Panels\Fullscreen\row_shell.png","386284"
"Shared","Panels","inner_panel_normal.png","SourceAssets\UI\Reference\Shared\Panels\inner_panel_normal.png","1925457"
"Shared","Panels","Modal","SourceAssets\UI\Reference\Shared\Panels\Modal\modal_header_band.png","815702"
"Shared","Panels","Modal","SourceAssets\UI\Reference\Shared\Panels\Modal\modal_shell_compact.png","1090764"
"Shared","Panels","Modal","SourceAssets\UI\Reference\Shared\Panels\Modal\modal_shell_medium.png","1512490"
"Shared","Panels","Modal","SourceAssets\UI\Reference\Shared\Panels\Modal\modal_shell_tall.png","1710595"
"Shared","Panels","Modal","SourceAssets\UI\Reference\Shared\Panels\Modal\modal_shell_wide.png","1273395"
"Shared","Panels","reference_scroll_paper_frame.png","SourceAssets\UI\Reference\Shared\Panels\reference_scroll_paper_frame.png","312300"
"Shared","Progress","reference_progress_meter_sheet.png","SourceAssets\UI\Reference\Shared\Progress\reference_progress_meter_sheet.png","866831"
"Shared","ScreenArt","MainMenu","SourceAssets\UI\Reference\Shared\ScreenArt\MainMenu\main_menu_foreground_occluder.png","8117"
"Shared","ScreenArt","MainMenu","SourceAssets\UI\Reference\Shared\ScreenArt\MainMenu\main_menu_scene_plate.png","2788630"
"Shared","ScreenArt","MainMenu","SourceAssets\UI\Reference\Shared\ScreenArt\MainMenu\main_menu_wordmark.png","840606"
"Shared","Slots","Grid","SourceAssets\UI\Reference\Shared\Slots\Grid\portrait_slot_locked.png","858129"
"Shared","Slots","Grid","SourceAssets\UI\Reference\Shared\Slots\Grid\portrait_slot_normal.png","1404944"
"Shared","Slots","Grid","SourceAssets\UI\Reference\Shared\Slots\Grid\portrait_slot_selected.png","833068"
"Shared","Slots","reference_square_slot_frame_normal.png","SourceAssets\UI\Reference\Shared\Slots\reference_square_slot_frame_normal.png","1174905"
"Shared","TopBar","home_square_chad_crop.png","SourceAssets\UI\Reference\Shared\TopBar\home_square_chad_crop.png","247271"
"Shared","TopBar","topbar_strip_normal.png","SourceAssets\UI\Reference\Shared\TopBar\topbar_strip_normal.png","211152"
