---,AttackRowID,BossID,AttackID,OwningPartID,RequiredPartIDs,bSelectable,SelectionWeight,MinPhase,MaxPhase
Forest_BuerVerdantChad_LegacyGroundAOE,Forest_BuerVerdantChad_LegacyGroundAOE,Forest_BuerVerdantChad,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Ocean_ReefCrabColossus_LegacyProjectile,Ocean_ReefCrabColossus_LegacyProjectile,Ocean_ReefCrabColossus,LegacyProjectile_Juggernaut,RightArm,,true,1.0,0,99
Ocean_ReefCrabColossus_LegacyGroundAOE,Ocean_ReefCrabColossus_LegacyGroundAOE,Ocean_ReefCrabColossus,LegacyGroundAOE_Juggernaut,Core,,true,1.0,0,99
Ocean_AbyssalJellyfish_LegacyProjectile,Ocean_AbyssalJellyfish_LegacyProjectile,Ocean_AbyssalJellyfish,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Ocean_AbyssalJellyfish_LegacyGroundAOE,Ocean_AbyssalJellyfish_LegacyGroundAOE,Ocean_AbyssalJellyfish,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Ocean_DrownedCaptain_LegacyProjectile,Ocean_DrownedCaptain_LegacyProjectile,Ocean_DrownedCaptain,LegacyProjectile_Balanced,Head,,true,1.0,0,99
Ocean_DrownedCaptain_LegacyGroundAOE,Ocean_DrownedCaptain_LegacyGroundAOE,Ocean_DrownedCaptain,LegacyGroundAOE_Balanced,Core,,true,1.0,0,99
Ocean_FocalorDrownedChad_LegacyProjectile,Ocean_FocalorDrownedChad_LegacyProjectile,Ocean_FocalorDrownedChad,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Ocean_FocalorDrownedChad_LegacyGroundAOE,Ocean_FocalorDrownedChad_LegacyGroundAOE,Ocean_FocalorDrownedChad,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Martian_RedSandBehemoth_LegacyProjectile,Martian_RedSandBehemoth_LegacyProjectile,Martian_RedSandBehemoth,LegacyProjectile_Juggernaut,RightArm,,true,1.0,0,99
Martian_RedSandBehemoth_LegacyGroundAOE,Martian_RedSandBehemoth_LegacyGroundAOE,Martian_RedSandBehemoth,LegacyGroundAOE_Juggernaut,Core,,true,1.0,0,99
Martian_CrystalMantis_LegacyProjectile,Martian_CrystalMantis_LegacyProjectile,Martian_CrystalMantis,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Martian_CrystalMantis_LegacyGroundAOE,Martian_CrystalMantis_LegacyGroundAOE,Martian_CrystalMantis,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Martian_PlasmaSaucerPrime_LegacyProjectile,Martian_PlasmaSaucerPrime_LegacyProjectile,Martian_PlasmaSaucerPrime,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Martian_PlasmaSaucerPrime_LegacyGroundAOE,Martian_PlasmaSaucerPrime_LegacyGroundAOE,Martian_PlasmaSaucerPrime,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Martian_StolasAstralChad_LegacyProjectile,Martian_StolasAstralChad_LegacyProjectile,Martian_StolasAstralChad,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Martian_StolasAstralChad_LegacyGroundAOE,Martian_StolasAstralChad_LegacyGroundAOE,Martian_StolasAstralChad,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Hell_Horseman_Conquest_LegacyProjectile,Hell_Horseman_Conquest_LegacyProjectile,Hell_Horseman_Conquest,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Hell_Horseman_Conquest_LegacyGroundAOE,Hell_Horseman_Conquest_LegacyGroundAOE,Hell_Horseman_Conquest,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Hell_Horseman_War_LegacyProjectile,Hell_Horseman_War_LegacyProjectile,Hell_Horseman_War,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Hell_Horseman_War_LegacyGroundAOE,Hell_Horseman_War_LegacyGroundAOE,Hell_Horseman_War,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Hell_Horseman_Famine_LegacyProjectile,Hell_Horseman_Famine_LegacyProjectile,Hell_Horseman_Famine,LegacyProjectile_Balanced,Head,,true,1.0,0,99
Hell_Horseman_Famine_LegacyGroundAOE,Hell_Horseman_Famine_LegacyGroundAOE,Hell_Horseman_Famine,LegacyGroundAOE_Balanced,Core,,true,1.0,0,99
Hell_Horseman_Death_LegacyProjectile,Hell_Horseman_Death_LegacyProjectile,Hell_Horseman_Death,LegacyProjectile_Juggernaut,RightArm,,true,1.0,0,99
Hell_Horseman_Death_LegacyGroundAOE,Hell_Horseman_Death_LegacyGroundAOE,Hell_Horseman_Death,LegacyGroundAOE_Juggernaut,Core,,true,1.0,0,99
Hell_FalseProphet_LegacyProjectile,Hell_FalseProphet_LegacyProjectile,Hell_FalseProphet,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Hell_FalseProphet_LegacyGroundAOE,Hell_FalseProphet_LegacyGroundAOE,Hell_FalseProphet,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Hell_Antichrist_LegacyProjectile,Hell_Antichrist_LegacyProjectile,Hell_Antichrist,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Hell_Antichrist_LegacyGroundAOE,Hell_Antichrist_LegacyGroundAOE,Hell_Antichrist,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Hell_GreatDragon_LegacyProjectile,Hell_GreatDragon_LegacyProjectile,Hell_GreatDragon,LegacyProjectile_Juggernaut,RightArm,,true,1.0,0,99
Hell_GreatDragon_LegacyGroundAOE,Hell_GreatDragon_LegacyGroundAOE,Hell_GreatDragon,LegacyGroundAOE_Juggernaut,Core,,true,1.0,0,99
